IDPROVINCIA;SPROVINCIA;IDESTACION;SESTACION;IDESTADO;VISIBLE;HUSO;XUTM;YUTM;SLATITUD;SLONGITUD;ALTITUD
4;"Almería";"10";"Adra";1;"S";30;500710;4066978;"364452000N";"025931000W";42
4;"Almería";"2";"Almería";1;"S";30;553334;4076947;"365010000N";"022406000W";22
4;"Almería";"8";"Cuevas de Almanzora";1;"S";30;606478;4124237;"371528000N";"014757000W";20
4;"Almería";"5";"Fiñana";1;"S";30;514418;4112459;"370928000N";"025015000W";971
4;"Almería";"7";"Huércal-Overa";1;"S";30;598844;4141406;"372448000N";"015259000W";317
4;"Almería";"1";"La Mojonera";1;"S";30;526472;4071536;"364719000N";"024211000W";142
4;"Almería";"11";"Níjar";1;"S";30;575091;4089921;"365706000N";"020923000W";182
4;"Almería";"3";"Níjar";4;"S";30;577864;4089373;"365649000N";"020733000W";158
4;"Almería";"4";"Tabernas";1;"S";30;562095;4105449;"370533000N";"021804000W";435
4;"Almería";"9";"Tíjola";4;"S";30;548187;4136472;"372222000N";"022721000W";740
4;"Almería";"12";"Tíjola";1;"S";30;547943;4137207;"372247000N";"022730000W";796
4;"Almería";"6";"Virgen de Fátima-Cuevas de Almanzora";1;"S";30;608951;4138960;"372325000N";"014609000W";185
11;"Cádiz";"1";"Basurta-Jerez de la Frontera";1;"S";29;766377;4072277;"364529000N";"060058000W";60
11;"Cádiz";"5";"Conil de la Frontera";1;"S";29;757532;4025267;"362014000N";"060750000W";26
11;"Cádiz";"101";"IFAPA Centro de Chipiona";1;"S";29;732243;4070604;"364507000N";"062355000W";7
11;"Cádiz";"2";"Jerez de la Frontera";1;"S";29;767119;4059604;"363838000N";"060044000W";32
11;"Cádiz";"7";"Jimena de la Frontera";1;"S";30;286186;4032550;"362449000N";"052304000W";53
11;"Cádiz";"10";"Puerto de Santa María";1;"S";29;753735;4055018;"363703000N";"060905000W";20
11;"Cádiz";"8";"Puerto de Santa María";4;"S";29;754761;4056297;"363703000N";"060905000W";20
11;"Cádiz";"3";"Sanlúcar de Barrameda";4;"S";29;741319;4080087;"365007000N";"061738000W";22
11;"Cádiz";"11";"Sanlúcar de Barrameda";1;"S";29;738587;4067227;"364314000N";"061942000W";32
11;"Cádiz";"9";"Sanlúcar de Barrameda";1;"S";30;204391,3;4075859,2;"364654000N";"061844000W";22
11;"Cádiz";"6";"Vejer de la Frontera";1;"S";30;245032;4019509;"361710000N";"055019000W";24
11;"Cádiz";"4";"Villamartín";1;"S";30;266228;4081004;"365043000N";"053718000W";171
14;"Córdoba";"2";"Adamuz";1;"S";30;373219;4206727;"375955000N";"042638000W";90
14;"Córdoba";"8";"Baena";1;"S";30;384952;4172611;"374134000N";"041817000W";334
14;"Córdoba";"1";"Bélmez";1;"S";30;306747;4236499;"381518000N";"051230000W";523
14;"Córdoba";"6";"Córdoba";1;"S";30;341642;4192085;"375142000N";"044800000W";117
14;"Córdoba";"5";"El Carpio";1;"S";30;367901;4197541;"375454000N";"043009000W";165
14;"Córdoba";"4";"Hornachuelos";1;"S";30;309705;4177125;"374315000N";"050932000W";157
14;"Córdoba";"101";"IFAPA Centro de Cabra";1;"S";30;373628;4151309;"372958000N";"042546000W";547
14;"Córdoba";"102";"IFAPA Centro de Hinojosa del Duque";1;"S";30;315628;4263208;"382951096N";"050650870W";543
14;"Córdoba";"9";"Palma del Rio";1;"S";30;303825;4177917;"374336870N";"051333369W";55
14;"Córdoba";"3";"Palma del Río";4;"S";30;301869;4172386;"374036000N";"051447000W";134
14;"Córdoba";"7";"Santaella";1;"S";30;333494;4154701;"373125000N";"045303000W";207
18;"Granada";"9";"Almuñecar";4;"S";30;439612;4066365;"364425000N";"034034000W";49
18;"Granada";"11";"Almuñecar";1;"S";30;438973;4066413;"364427209N";"034100703W";14
18;"Granada";"1";"Baza";1;"S";30;520628;4157712;"373356000N";"024559000W";814
18;"Granada";"7";"Cádiar";1;"S";30;483724;4086564;"365527000N";"031057000W";950
18;"Granada";"101";"IFAPA Centro Camino del Purchil";1;"S";30;443423;4114357;"371030053N";"033810015W";630
18;"Granada";"5";"Iznalloz";1;"S";30;451312;4141428;"372503000N";"033300000W";935
18;"Granada";"6";"Jerez del Marquesado";1;"S";30;486806;4116224;"371130000N";"030855000W";1212
18;"Granada";"3";"Loja";1;"S";30;399051;4114478;"371014000N";"040813000W";487
18;"Granada";"10";"Padul";1;"S";30;446712;4097327;"370112000N";"033556000W";781
18;"Granada";"4";"Pinos Puente";1;"S";30;431534;4124395;"371546000N";"034619000W";594
18;"Granada";"2";"Puebla de Don Fadrique";1;"S";30;554482;4192456;"375238000N";"022249000W";1110
18;"Granada";"8";"Zafarraya";1;"S";30;397421;4094617;"365929000N";"040909000W";905
21;"Huelva";"10";"Almonte";1;"S";29;724620;4114778;"370906000N";"062814000W";18
21;"Huelva";"103";"Almonte bajo plástico";1;"S";30;186521;4110564;"370518140N";"063135370O";24
21;"Huelva";"104";"Almonte bajo plástico frb";1;"S";30;719247,745;4110564;"370536270N";"063159440O";23
21;"Huelva";"6";"Aroche";1;"S";29;680649;4203384;"375734000N";"065637000W";299
21;"Huelva";"8";"El Campillo";1;"S";29;711868;4171123;"373944000N";"063553000W";406
21;"Huelva";"1";"El Tojalillo-Gibraleón";1;"S";29;674879;4132208;"371910000N";"070135000W";52
21;"Huelva";"3";"Gibraleón";1;"S";29;671800;4142595;"372449000N";"070331000W";169
21;"Huelva";"101";"IFAPA Centro Las Torres-Tomejil. Finca El Cebollar";1;"S";30;162785;4128508;"371429495N";"064803907W";63
21;"Huelva";"102";"IFAPA El Cebollar Bajo plastico";1;"S";30;162886;4128606;"371432079N";"064759095W";63
21;"Huelva";"9";"La Palma del Condado";1;"S";29;717814;4138619;"372205000N";"063225000W";192
21;"Huelva";"7";"La Puebla de Guzmán";1;"S";29;654836;4157771;"373312000N";"071449000W";288
21;"Huelva";"2";"Lepe";1;"S";29;655814;4123108;"371427000N";"071436000W";74
21;"Huelva";"4";"Moguer";1;"S";29;696178;4113619;"370852000N";"064728000W";87
21;"Huelva";"5";"Niebla";1;"S";29;700713;4135997;"372054000N";"064402000W";52
23;"Jaén";"6";"Alcaudete";1;"S";30;404875;4159665;"373442000N";"040438000W";645
23;"Jaén";"11";"Chiclana de Segura";1;"S";30;504003;4239630;"381814000N";"025715000W";510
23;"Jaén";"1";"Huesa";1;"S";30;494672;4177995;"374455000N";"030337000W";793
23;"Jaén";"104";"IFAPA Centro MEngibar";1;"S";30;430902;430902;"375632052N";"034710864W";292
23;"Jaén";"15";"Jaén";1;"S";30;432285;4194160;"375330000N";"034612000W";299
23;"Jaén";"103";"Jódar";1;"S";30;470716;4192610;"375247593N";"031958739W";488
23;"Jaén";"12";"La Higuera de Arjona";1;"S";30;411556;4200824;"375700000N";"040023000W";267
23;"Jaén";"9";"Linares";1;"S";30;443111;4212750;"380336000N";"033854000W";443
23;"Jaén";"7";"Mancha Real";1;"S";30;447686;4196913;"375503000N";"033542000W";436
23;"Jaén";"16";"Marmolejo";1;"S";30;396245;4211908;"380326000N";"040746000W";208
23;"Jaén";"10";"Marmolejo";4;"S";30;400901;4212858;"380326000N";"040746000W";208
23;"Jaén";"13";"Mengíbar";4;"S";30;427706;4202345;"375754000N";"034922000W";373
23;"Jaén";"2";"Pozo Alcón";1;"S";30;506267;4169627;"374023000N";"025544000W";893
23;"Jaén";"4";"Sabiote";1;"S";30;479441;4214871;"380450000N";"031403000W";822
23;"Jaén";"3";"San José de los Propios";1;"S";30;479835;4190273;"375132000N";"031345000W";509
23;"Jaén";"14";"Santo Tomé";1;"S";30;492827;4209275;"380149000N";"030454000W";571
23;"Jaén";"5";"Torreblascopedro";1;"S";30;439562;4204997;"375923000N";"034117000W";291
23;"Jaén";"101";"Torreperogil";1;"S";30;478684;4203206;"375832018N";"031433702W";536
23;"Jaén";"8";"Ubeda";1;"S";30;473694;4199725;"375638000N";"031757000W";358
23;"Jaén";"102";"Villacarrillo";1;"S";30;482519;4213079;"380352812N";"031157381W";650
29;"Málaga";"10";"Antequera";1;"S";30;360377;4100109;"370210370N";"043411500W";457
29;"Málaga";"3";"Antequera";4;"S";30;361379;4102383;"370324000N";"043332000W";457
29;"Málaga";"5";"Archidona";1;"S";30;372960;4104563;"370441000N";"042544000W";516
29;"Málaga";"9";"Cártama";1;"S";30;350221;4064985;"364305000N";"044037000W";95
29;"Málaga";"4";"Estepona";4;"S";30;302049;4035766;"362646000N";"051230000W";199
29;"Málaga";"101";"IFAPA Centro de Campanillas";1;"S";30;360742;4066161;"364349319N";"043334207W";60
29;"Málaga";"7";"IFAPA Churriana";1;"S";30;365802;4059951;"364030000N";"043006000W";32
29;"Málaga";"1";"Málaga";1;"S";30;362843;4069159;"364527000N";"043211000W";68
29;"Málaga";"8";"Pizarra";1;"S";30;347015;4070556;"364604000N";"044250000W";84
