IDPROVINCIA,SPROVINCIA,IDESTACION,SESTACION,FECHA,DIA,TEMPMAX,HORMINTEMPMAX,TEMPMIN,HORMINTEMPMIN,TEMPMEDIA,HUMEDADMAX,HUMEDADMIN,HUMEDADMEDIA,VELVIENTO,DIRVIENTO,RADIACION,PRECIPITACION
14,Córdoba,1,Bélmez,25/04/2000,116,"20,32",1142,"10,61",2348,"15,84","92,2","50,95","65,38","4,443","221,7","23,56","0,6"
14,Córdoba,1,Bélmez,26/04/2000,117,"17,95",1444,"7,29",617,"11,25","94,2","33,31","75,5","2,22","271,6","23,24","2,4"
14,Córdoba,1,Bélmez,27/04/2000,118,"12,85",1401,"6,888",2358,"9,08","90,9","62,19","79,5","4,006","282,6","14,2","3,4"
14,Córdoba,1,Bélmez,28/04/2000,119,"15,29",1638,"4,208",401,"9,63","93,3","40,85","72,2","3,137","276,6","23,06",0
14,Córdoba,1,Bélmez,29/04/2000,120,"16,42",1312,"6,821",352,"11,59","95,1","37,55","73,9","1,919","147,4","13,64",0
14,Córdoba,1,Bélmez,30/04/2000,121,"17,89",1538,"9,76",447,"13,34","91,3","43,52","71,2","3,149",134,"17,67","1,4"
14,Córdoba,1,Bélmez,01/05/2000,122,"14,64",1641,"8,49",2353,"10,83","97,7","66,19","89,1","2,948",134,"9,29","15,6"
14,Córdoba,1,Bélmez,02/05/2000,123,"20,89",1633,"5,543",535,"13,37",99,"34,78","74,8","1,692","148,2","26,53","0,2"
14,Córdoba,1,Bélmez,03/05/2000,124,"25,02",1617,"9,7",206,"16,72","95,5","42,07","74,7","2,067","230,6","22,67",0
14,Córdoba,1,Bélmez,04/05/2000,125,"19,57",1226,"11,7",545,"15,1","95,6","53,19","78,1","2,706","179,9","20,61","3,2"
14,Córdoba,1,Bélmez,05/05/2000,126,"16,98",1455,"9,47",954,"12,71","96,4","69,21","88,2","2,315","162,3","10,3","8,2"
14,Córdoba,1,Bélmez,06/05/2000,127,"17,7",1343,"9,62",2333,"12,55",98,"57,7","87,9","2,761",137,"16,66","2,2"
14,Córdoba,1,Bélmez,07/05/2000,128,"17,63",1656,"8,89",2347,"12,72","97,8","57,43",86,"2,337","160,4","17,95","9,8"
14,Córdoba,1,Bélmez,08/05/2000,129,"18,96",1222,"7,82",449,"12,69","99,1","55,26","86,1","1,947","162,5","18,37","0,8"
14,Córdoba,1,Bélmez,09/05/2000,130,"20,08",1409,"8,35",325,"13,67",99,"46,25","80,9","1,922","194,7","23,93",0
14,Córdoba,1,Bélmez,10/05/2000,131,"19,49",1410,"9,96",43,"13,91","96,9","51,77","83,2","2,106","189,8","19,68",4
14,Córdoba,1,Bélmez,11/05/2000,132,"20,7",1630,"9,96",224,"15,03","97,4","42,91","75,2","1,663","207,9","21,75",0
14,Córdoba,1,Bélmez,12/05/2000,133,"24,62",1636,"8,96",507,"16,66","96,2","29,86","68,06","1,313","233,2","27,77",0
14,Córdoba,1,Bélmez,13/05/2000,134,"27,29",1631,"8,35",523,"18,46","96,6","34,08","66,83","1,195","198,5","30,18",0
14,Córdoba,1,Bélmez,14/05/2000,135,"29,81",1503,"11,1",405,"20,74","97,2","28,3","64,74","1,075","186,1","30,1",0
14,Córdoba,1,Bélmez,15/05/2000,136,"30,68",1520,"12,64",505,"22,09","95,6","25,75","64,38","1,581","151,4","28,08",0
14,Córdoba,1,Bélmez,16/05/2000,137,"28,96",1242,"12,5",530,"21,48","90,7","28,91","56,09","1,493","196,3","26,87",0
14,Córdoba,1,Bélmez,17/05/2000,138,"28,73",1522,"13,3",454,"21,17","92,4","35,89","67,47","1,206","219,4","27,97",0
14,Córdoba,1,Bélmez,18/05/2000,139,"29,14",1614,"13,84",539,"21,61","94,8","26,9","63,08","1,238","236,2","29,77",0
14,Córdoba,1,Bélmez,19/05/2000,140,"29,74",1617,"12,7",434,"21,15","91,1","26,56","62,28","1,254","226,9","29,39",0
14,Córdoba,1,Bélmez,20/05/2000,141,"24,42",1312,"12,37",521,"18,55","94,6","49,32","72,4","2,403","192,2","28,95",0
14,Córdoba,1,Bélmez,21/05/2000,142,"23,88",1542,"12,49",452,"17,41",90,"33,89","66,85","1,951","189,2","21,95",0
14,Córdoba,1,Bélmez,22/05/2000,143,"26,07",1525,"10,03",532,"18,83","92,5","26,64","58,41","1,287","228,3","27,72",0
14,Córdoba,1,Bélmez,23/05/2000,144,"27,48",1422,"10,36",431,"17,65","95,6","33,54","71,2","1,989","185,3","25,8","9,4"
14,Córdoba,1,Bélmez,24/05/2000,145,"23,76",1609,"13,97",525,"18,15","95,7","44,77","77,1","1,822","321,7","22,5","2,8"
14,Córdoba,1,Bélmez,25/05/2000,146,"25,89",1634,"12,5",502,"18,74","92,3","25,63","67,42","2,867","295,3","29,44",0
14,Córdoba,1,Bélmez,26/05/2000,147,"21,55",1553,"14,97",143,"18,01","92,1","57,19","76,5","2,826","308,1","20,31",0
14,Córdoba,1,Bélmez,27/05/2000,148,"26,15",1520,"12,1",401,"18,71","96,8","33,55","65,55","2,187","304,2","29,08",0
14,Córdoba,1,Bélmez,28/05/2000,149,"26,69",1402,"7,89",508,"18,64","88,8","23,55","60,77","2,902","295,7","29,88",0
14,Córdoba,1,Bélmez,29/05/2000,150,"30,41",1619,"14,1",351,"21,84","96,8","27,23","64,44","2,148","319,3","30,91",0
14,Córdoba,1,Bélmez,30/05/2000,151,"33,47",1506,"15,04",504,"24,32","89,2","24,27","58,35","1,363","222,3","28,25",0
